player_name,club,position,age,minutes_played,PSxG_minus_GA,aerial_duels_won_pct,aerials_attempted,assists,avg_pass_length,blocks,carries_into_final_third,clearances,dispossessed,errors_leading_to_shot,gk_sweeper_actions,goal_creating_actions,goals,ground_duels_won_pct,interceptions,key_passes,miscontrols,pass_completion_pct,passes_into_final_third,passes_launched_pct,pressure_success_rate,pressures,progressive_carries,progressive_passes,progressive_passes_received,save_pct,shot_creating_actions,tackles_won,xAG,xG
Luke Elanga,Everton,GK,23,2757,0.18930164895041848,,,,33.02272322533828,,,,,,1.1470059261251342,,,,,,,,,12.373845917652183,,,,,,58.34275367942315,,,,
Davide Zaniolo,Fulham,GK,31,3380,0.16000254837721067,,,,35.74007473801637,,,,,,0.7125660296934093,,,,,,,,,41.526894483616395,,,,,,72.4622148829285,,,,
Mattia Shaw,Burnley,GK,31,3130,-0.013275225438146899,,,,30.76376414344958,,,,,,1.057337742269514,,,,,,,,,42.67049606408836,,,,,,67.2334931891724,,,,
Ryan Pereira,Fulham,GK,29,3239,0.09429187008727791,,,,28.748679868923077,,,,,,0.9902058167427701,,,,,,,,,53.69977121044553,,,,,,75.01574702105518,,,,
Conor Koch,Fulham,GK,33,3067,-0.13122816585325506,,,,37.946033369627536,,,,,,1.8345234146441558,,,,,,,,,35.80711345389641,,,,,,66.22863149016132,,,,
Sergio Gnabry,Sheffield United,GK,28,3330,0.059363947411222334,,,,37.431308504575156,,,,,,1.454063255591113,,,,,,,,,30.683146585296186,,,,,,78.10000144563733,,,,
David Gilmour,Burnley,GK,21,3335,-0.06466707777270318,,,,43.95953048987516,,,,,,0.7073351074454053,,,,,,,,,24.698292985279796,,,,,,67.52785506229661,,,,
David Pellegrini,Luton Town,GK,26,3233,0.049295551718901,,,,38.3467778815994,,,,,,1.12101994220125,,,,,,,,,36.53471895751426,,,,,,76.10355631951495,,,,
Bruno Griezmann,Wolverhampton Wanderers,GK,27,3027,-0.18399169852062652,,,,33.139405888564525,,,,,,1.9523882832542145,,,,,,,,,33.96592892864517,,,,,,65.56383399798872,,,,
Davide Mane,Nottingham Forest,GK,30,2765,-0.03568237714964291,,,,29.095569227479427,,,,,,1.0946096848013367,,,,,,,,,20.056888707200187,,,,,,75.19742666290188,,,,
Craig Koch,West Ham United,GK,25,3205,0.10653439860306362,,,,31.212116123924613,,,,,,1.0613613503646768,,,,,,,,,35.984621307673436,,,,,,75.1257182322096,,,,
Mohammed Robertson,Crystal Palace,GK,21,3241,-0.21808593022379244,,,,24.756167557119515,,,,,,1.0974699567684882,,,,,,,,,32.79729072068124,,,,,,65.01927220678962,,,,
Matteo Elanga,Nottingham Forest,GK,31,3122,-0.0169787604161734,,,,38.72246509965916,,,,,,0.018143661446120785,,,,,,,,,23.93160308919325,,,,,,65.34984561562594,,,,
Leon Chiesa,Luton Town,GK,25,3370,-0.2402904137899218,,,,33.86140969083763,,,,,,1.4174817164187543,,,,,,,,,21.646087491234372,,,,,,72.50490655399709,,,,
Ben McGinn,Nottingham Forest,GK,23,3146,0.05959940311491772,,,,34.854968473196074,,,,,,2.5706423129756493,,,,,,,,,38.021334950974946,,,,,,81.51431302668306,,,,
Julian Ndiaye,Brentford,GK,23,2837,-0.05016576456803823,,,,30.222218423209814,,,,,,0.2233549643978736,,,,,,,,,35.62181136177285,,,,,,62.363196967105836,,,,
Thomas Chukwueze,Burnley,GK,31,2671,0.3766170799620112,,,,18.0,,,,,,1.6141691698750686,,,,,,,,,16.125542559617628,,,,,,74.90086603293197,,,,
Robin Coulibaly,Liverpool,GK,25,2852,-0.005342359554949345,,,,30.730921303690494,,,,,,0.5714769977393506,,,,,,,,,29.884582809344135,,,,,,79.4618616155135,,,,
Kieran Adams,Newcastle United,GK,27,2843,0.043449413865119454,,,,22.520449868663803,,,,,,0.6279065902141023,,,,,,,,,22.008452817530177,,,,,,78.8791765771614,,,,
Emmanuel Coulibaly,Crystal Palace,GK,24,3188,0.17092805667254207,,,,35.0796077288469,,,,,,1.2746896818735276,,,,,,,,,39.17887615449093,,,,,,65.67950975339082,,,,
Renato Fernandes,Liverpool,GK,30,3145,-0.20060903747810468,,,,44.63273005128348,,,,,,1.5279932908587506,,,,,,,,,30.071055012665433,,,,,,63.05443697976266,,,,
Phil Martinez,Liverpool,GK,33,3318,0.059488850245494135,,,,35.43005150769291,,,,,,2.6286047935967938,,,,,,,,,41.275464520718664,,,,,,69.12350938416384,,,,
James Fernandes,Arsenal,GK,21,2985,0.3302598297409935,,,,43.69155433793762,,,,,,0.5143634543652095,,,,,,,,,23.401752146368146,,,,,,70.74336550702179,,,,
Sergio Danilo,Nottingham Forest,GK,26,3400,0.019078063990387167,,,,43.259854890509736,,,,,,1.4724679255213964,,,,,,,,,32.0508945855872,,,,,,70.85589971032842,,,,
Vitinha Lopez,West Ham United,GK,27,3057,-0.19938635087625306,,,,39.32722033884811,,,,,,0.3388858258083487,,,,,,,,,23.990518711590255,,,,,,65.85293343149874,,,,
Craig Gnabry,Bournemouth,GK,30,3250,-0.06715049800004412,,,,36.30492349603141,,,,,,2.469918485954195,,,,,,,,,40.03309390365525,,,,,,69.70628833946627,,,,
Vitinha Neves,Luton Town,GK,26,3420,0.051783204521667986,,,,33.82582664111124,,,,,,3.3807516018397843,,,,,,,,,29.08587737953449,,,,,,64.40928349436643,,,,
Youssouf Flores,West Ham United,GK,26,3071,-0.24341956033066056,,,,41.64682896710587,,,,,,0.816732929805113,,,,,,,,,31.787260043084085,,,,,,67.86505090225559,,,,
Thomas Hernandez,Nottingham Forest,GK,27,3256,-0.07529909692589326,,,,18.0,,,,,,0.22636380368720732,,,,,,,,,26.868849348969317,,,,,,65.86197455282688,,,,
Callum Tchouameni,Brighton,GK,23,3420,0.35064443509783655,,,,29.054008345695756,,,,,,1.6732444407524076,,,,,,,,,13.941200454095899,,,,,,89.3644503786953,,,,
Rodrygo Santos,West Ham United,GK,26,2863,0.09825789340399135,,,,21.000833533040144,,,,,,1.2094610048202676,,,,,,,,,26.394124425807505,,,,,,69.3669075013893,,,,
Bernardo Molina,Brentford,GK,25,3243,0.10487693405812502,,,,34.814051267193626,,,,,,1.4425242780622938,,,,,,,,,29.865151932021593,,,,,,79.0890107247388,,,,
Samuel Pellegrini,Fulham,GK,29,3316,0.3766170799620112,,,,35.08677242045201,,,,,,0.7895542322441859,,,,,,,,,46.88025882970291,,,,,,86.65217816251416,,,,
Alvaro Saka,Sheffield United,GK,29,3027,0.10642581261048994,,,,35.635362705714904,,,,,,0.5116554524684175,,,,,,,,,39.129261778698165,,,,,,59.78789809118065,,,,
Boubacar Elanga,Manchester City,GK,28,3178,0.0013721117481270487,,,,43.77193578394525,,,,,,0.0,,,,,,,,,29.830750145229622,,,,,,70.2361583525518,,,,
Caleb Christie,Manchester City,GK,29,3323,-0.046944624637832166,,,,45.818801713313476,,,,,,0.17291087606708966,,,,,,,,,31.935945804569315,,,,,,59.70294752264992,,,,
Ola Costa,Brentford,GK,27,3420,-0.040202111024057796,,,,45.85849284327955,,,,,,2.3419295111821548,,,,,,,,,34.991862903852486,,,,,,81.1003121628927,,,,
Lewis Felix,Sheffield United,GK,29,2794,0.1690378718234706,,,,26.420609413597784,,,,,,2.1916671476758824,,,,,,,,,28.798549790310457,,,,,,69.92400332525705,,,,
Wilfried Dykes,Wolverhampton Wanderers,GK,27,2974,0.15515641797162677,,,,19.423677954774075,,,,,,1.3464374616814392,,,,,,,,,36.769296293663736,,,,,,84.74452310352761,,,,
Andy Torres,Sheffield United,GK,34,2714,0.13475608596158528,,,,32.262256743010084,,,,,,0.4267518804950976,,,,,,,,,15.835391602715212,,,,,,67.10748699994878,,,,
Ismaila McTominay,Bournemouth,GK,25,3287,0.12957706500039914,,,,32.576268585860625,,,,,,1.7311122282981544,,,,,,,,,31.652400748363117,,,,,,55.9609734398133,,,,
Ibrahim Hernandez,Luton Town,GK,25,3111,0.12636313810280383,,,,34.94685290160527,,,,,,2.077267188674723,,,,,,,,,45.71138857664211,,,,,,60.928839203822406,,,,
Kylian Adams,Newcastle United,GK,32,3060,0.06219216068576526,,,,30.819770558077177,,,,,,1.2779819740381129,,,,,,,,,17.63985682312742,,,,,,73.89240267497208,,,,
Francesco Rice,West Ham United,GK,23,3210,-0.002501625457523974,,,,25.42199986167744,,,,,,1.5618449534649548,,,,,,,,,19.07694125424923,,,,,,82.37018883361281,,,,
Marcos Rodrigues,Arsenal,GK,33,3420,0.1715276120402111,,,,30.358706489071647,,,,,,0.0,,,,,,,,,55.93183720415302,,,,,,75.87881550926865,,,,
Alex Johnson,Manchester United,GK,28,2715,0.2557191232748948,,,,19.18977650304917,,,,,,0.7646909679796607,,,,,,,,,12.980233430726326,,,,,,60.78418321258752,,,,
Sadio Dias,Liverpool,GK,29,3111,-0.29133092490577717,,,,35.67508617373289,,,,,,1.961562900977016,,,,,,,,,22.338687596339973,,,,,,72.38047509773267,,,,
Pablo Tierney,Aston Villa,GK,29,2965,0.115411647008264,,,,33.574208773255656,,,,,,2.0564227803339348,,,,,,,,,25.844663034022496,,,,,,67.06728715991082,,,,
Rayan Cooper,Arsenal,GK,26,2453,0.16931342756433312,,,,20.142516820457434,,,,,,0.0,,,,,,,,,12.442332063102867,,,,,,58.04857740262091,,,,
James Gilmour,Sheffield United,GK,26,3408,0.05560221474953338,,,,31.446896522190883,,,,,,2.4828687116555175,,,,,,,,,43.932233587212295,,,,,,79.62452247697554,,,,
Luke Pellegrini,Sheffield United,GK,25,3415,-0.13986409367205743,,,,45.76615864932787,,,,,,0.2942547876983679,,,,,,,,,37.64302023254322,,,,,,69.493883183479,,,,
Ola Maguire,Manchester City,GK,30,2803,-0.0035955971237907856,,,,27.15999429753015,,,,,,0.9728798093011561,,,,,,,,,39.13956389882181,,,,,,59.18365921906729,,,,
Wilfried Rudiger,Burnley,GK,29,3420,0.07915916041084659,,,,29.257710793084964,,,,,,0.21851374652341438,,,,,,,,,43.847939866338,,,,,,74.53345297750191,,,,
Ryan Camavinga,Manchester City,GK,33,3362,0.08900788037284468,,,,47.608100481010396,,,,,,3.0615844232430023,,,,,,,,,32.18531072855554,,,,,,71.08203728857659,,,,
Pedro Nkunku,Manchester City,GK,32,2634,0.07995266707128591,,,,25.333049552404752,,,,,,0.1283460053528247,,,,,,,,,31.766898537490643,,,,,,71.81896006432301,,,,
Kai Robertson,Chelsea,GK,25,3251,-0.03277448559677712,,,,24.303271069266984,,,,,,1.6781667619607654,,,,,,,,,41.27192043888758,,,,,,85.56061813700661,,,,
Amadou McGinn,Manchester City,GK,28,3095,-0.04106652709912276,,,,32.05071249889815,,,,,,3.3807516018397843,,,,,,,,,14.296741286291152,,,,,,79.44696072914051,,,,
Rodrygo Chiesa,Newcastle United,GK,28,2831,0.1245398771593634,,,,25.764140826196645,,,,,,1.7442410871660425,,,,,,,,,25.955109026029547,,,,,,71.60251763925116,,,,
Fabricio Hofmann,Aston Villa,GK,30,3320,0.21535166080026377,,,,35.63172463446957,,,,,,1.1530615555628698,,,,,,,,,24.565015197331697,,,,,,74.56571985066061,,,,
Conor Shaw,Newcastle United,GK,26,2946,-0.29133092490577717,,,,39.161479855773486,,,,,,0.8244158133721676,,,,,,,,,44.36634675776691,,,,,,61.534574188409564,,,,
Mohammed Pereira,Aston Villa,CB,25,2057,,69.67160030933712,7.732086505723185,0.023212831418515316,,1.4820182305082845,1.1258872086679617,4.436674470249814,0.2176633712225125,0.06032915293290781,,0.053447857286468975,0.057395370858545895,45.298504803485876,0.5558138588846203,0.8007353008960698,0.6552918090223315,79.22997823785536,2.00865601330494,,33.10180703612447,12.767821425915283,1.191873646111655,4.979059451428329,1.5311194785431612,,1.1615285568266227,1.600995610864798,0.0,0.04395240628500918
